model,state,validation_test,WIS,WIS_peak
136,AC,all,93.12235506839075,
136,AL,1,164.3176123387245,321.2564737904459
136,AL,2,140.08239778501755,218.83049946710776
136,AL,3,58.87042926147437,120.50596594199057
136,AL,all,124.8995169025713,
136,AM,1,25.473848515635805,39.357844240123335
136,AM,2,52.071509273484125,117.94816417796407
136,AM,3,25.921947429243627,32.69320374995075
136,AM,all,35.01362139110008,
136,AP,1,14.737433825723835,72.58576058649686
136,AP,2,188.76139653085892,595.8336549102825
136,AP,3,32.79696446919996,99.35694496943815
136,AP,all,81.57965068515578,
136,BA,1,238.42749034784185,401.4163087470595
136,BA,2,1935.3327649988428,9580.363409213345
136,BA,3,197.98679206884967,287.74100426596146
136,BA,all,826.8637097754296,
136,CE,1,132.92002678423881,236.39976698665555
136,CE,2,177.5760140762448,270.45884688261964
136,CE,3,128.19781535720585,245.645989581073
136,CE,all,147.33537540887755,
136,DF,1,190.76457834773475,253.82023414373853
136,DF,2,4208.976991144682,19139.645361616946
136,DF,3,141.61533445584854,121.46967585653427
136,DF,all,1597.7960611918857,
136,GO,1,361.0774661191482,562.0927009375938
136,GO,2,1535.7620201955287,4691.581200844254
136,GO,3,654.9402664426133,1222.2102546376966
136,GO,all,862.5720050707182,
136,MA,1,44.63088514776963,226.42463753086886
136,MA,2,70.15127233856967,355.79727053514165
136,MA,3,28.063350656052037,53.52997425661556
136,MA,all,48.812219506801924,
136,MG,1,4879.508058324484,19206.212475157256
136,MG,2,24774.692869507424,97441.63252127974
136,MG,3,1379.8320080049111,2446.8672809468753
136,MG,all,10893.545745520209,
136,MS,1,255.6010797471526,665.5153434619028
136,MS,2,163.95232168885101,484.35667209076496
136,MS,3,88.27775192111426,278.93661863734815
136,MS,all,174.23619188625918,
136,MT,1,121.42948002216886,309.7234945778676
136,MT,2,176.33350694444107,608.5919549776348
136,MT,3,314.0376962749685,1414.2468313352008
136,MT,all,197.19249157882558,
136,PA,1,39.571482432865686,142.73769324731595
136,PA,2,212.03437469642566,866.1310086486907
136,PA,3,217.9038804533769,637.4118868808241
136,PA,all,152.74402333481873,
136,PB,1,71.50479126319082,141.31505634387744
136,PB,2,97.11290701072686,244.46206255758497
136,PB,3,64.25990232846723,104.6312154893263
136,PB,all,78.4441912269919,
136,PE,1,92.1129833790963,129.03084975849058
136,PE,2,167.75184877249023,311.014069663218
136,PE,3,100.75119806176481,112.89876074800814
136,PE,all,121.39641352747202,
136,PI,1,42.07228510510323,120.19802892710112
136,PI,2,62.31678193328953,195.8390517894726
136,PI,3,32.40173712946519,72.55969679955501
136,PI,all,46.4048039630165,
136,PR,1,1226.9544238621581,6971.351293851302
136,PR,2,7959.290454359395,32020.654861395178
136,PR,3,598.9734744421776,1483.9093577444135
136,PR,all,3424.7659392417304,
136,RJ,1,714.4084619259306,1782.7008738154088
136,RJ,2,5830.114411847042,26553.659133364836
136,RJ,3,605.8156417362818,438.67692236940053
136,RJ,all,2492.280694087447,
136,RN,1,149.98017713133964,265.9020247153648
136,RN,2,135.39835513113388,403.08186028661856
136,RN,3,59.49924387340379,105.9555131871337
136,RN,all,118.3547698245237,
136,RO,1,168.51888850123697,705.174097324842
136,RO,2,34.26324326536529,150.2909937929702
136,RO,3,28.105617211388072,66.46122502718315
136,RO,all,79.95382579559866,
136,RR,1,2.506041025560983,8.350715459622963
136,RR,2,4.278492019685043,9.80673571354648
136,RR,3,2.8612793140724806,3.645157879015741
136,RR,all,3.236943733727279,
136,RS,1,509.43386867372624,2744.1901798022354
136,RS,2,3555.3170293857393,18572.845248298698
136,RS,3,657.2738575370275,2505.0977344916014
136,RS,all,1630.1348474366282,
136,SC,1,2324.851497042839,11760.576634539373
136,SC,2,6287.942110451182,29786.7777847464
136,SC,3,263.93668484301617,566.3337516314427
136,SC,all,3123.9084696458426,
136,SE,1,36.17582348393255,58.72708148042852
136,SE,2,48.56444228051533,85.39177763007483
136,SE,3,30.546496104454597,53.331514260927406
136,SE,all,38.91151804246827,
136,SP,1,1765.1929416612902,5727.339830764405
136,SP,2,27356.968699374997,119565.0958149164
136,SP,3,13355.50439819698,33024.012230912405
136,SP,all,14208.429213988824,
136,TO,1,19.301533524976882,42.45217640171703
136,TO,2,28.889573382710235,54.633016434212216
136,TO,3,26.245969774650934,48.83000504522908
136,TO,all,24.724586799385847,
137,AC,1,94.89143685870899,74.08345775462963
137,AC,2,501.79040406220645,1549.6169155680134
137,AC,3,95.56766472868219,169.4623611111111
137,AC,all,239.02629463415602,
137,AL,1,196.2378451034665,272.7295740611546
137,AL,2,293.220808279766,599.2736865401396
137,AL,3,141.00929909560725,127.2724537037037
137,AL,all,214.38945467373608,
137,AM,1,58.158752748687135,123.86214409722221
137,AM,2,439.2244150356221,1088.3157203788312
137,AM,3,51.26294250645995,115.56111111111113
137,AM,all,190.9403486568834,
137,AP,1,48.387865435545415,16.060963541666666
137,AP,2,295.49035749416413,1154.382321496427
137,AP,3,29.610313307493545,53.606712962962966
137,AP,all,130.3055174460348,
137,BA,1,208.84781856698572,269.3071827602061
137,BA,2,3018.2307052130523,15140.10359375
137,BA,3,199.3882784237726,330.767037037037
137,BA,all,1199.8760490393481,
137,CE,1,190.2712628845037,312.3131014141926
137,CE,2,494.34758519571835,193.33333333333334
137,CE,3,270.33524224806206,767.1868981481481
137,CE,all,321.25575181522606,
137,DF,1,274.93174039104167,374.7673538834195
137,DF,2,2088.1660031491842,6506.438485111884
137,DF,3,232.63130813953487,146.6763425925926
137,DF,all,903.9743463543656,
137,ES,1,830.3773580013956,3224.878355346876
137,ES,2,1463.3098630767252,2692.1426839711544
137,ES,3,482.02358527131776,1477.994722222222
137,ES,all,952.372446685231,
137,GO,1,408.1896497928819,813.7079745370371
137,GO,2,2915.979560657145,11834.536767939813
137,GO,3,669.4246543927649,1236.2135648148142
137,GO,all,1371.7146876346278,
137,MA,1,47.71646412314112,89.76104166666669
137,MA,2,76.24505909455128,230.44006365740742
137,MA,3,58.67588178294573,87.18351851851854
137,MA,all,61.014028054331106,
137,MG,1,3092.8415697324945,14138.613098185388
137,MG,2,25665.67055187442,104145.46439362451
137,MG,3,1566.2111240310076,3164.695787037037
137,MG,all,10631.222507870021,
137,MS,1,261.3178154621299,629.4000963162757
137,MS,2,365.44214307419594,511.7386342592593
137,MS,3,248.38190891472868,516.360648148148
137,MS,all,294.36693828042365,
137,MT,1,182.00993580096008,346.8036161552407
137,MT,2,901.282837279574,1542.498634298198
137,MT,3,223.31981266149867,720.5397222222222
137,MT,all,448.5304499634844,
137,PA,1,63.95749297637962,200.7730868505946
137,PA,2,578.0166747912803,1219.4398359617278
137,PA,3,98.19162144702842,221.84652777777782
137,PA,all,255.81562208258862,
137,PB,1,191.89225627336322,272.0331694215555
137,PB,2,392.0472935098192,1118.1184313298984
137,PB,3,127.25239341085272,124.48037037037038
137,PB,all,243.7871394924636,
137,PE,1,189.57180544960963,208.74600405092596
137,PE,2,411.7604830365326,321.38038773148145
137,PE,3,184.31118863049096,128.4113425925926
137,PE,all,266.63034090061575,
137,PI,1,109.9373560485821,198.22804687500002
137,PI,2,315.46108768008526,195.1729890046296
137,PI,3,107.72464147286823,238.24986111111113
137,PI,all,181.9923718178506,
137,PR,1,2424.2531687673268,13546.824245672839
137,PR,2,6261.815115587862,23532.729370886733
137,PR,3,862.5646673126613,2499.242962962963
137,PR,all,3324.9376291218664,
137,RJ,1,326.04204567868265,640.2197123636423
137,RJ,2,4016.840720286401,20223.786192129628
137,RJ,3,494.68027777777775,767.3624999999998
137,RJ,all,1680.9602433648215,
137,RN,1,121.8561442280377,165.6689814814815
137,RN,2,249.67927709510693,732.5191420616062
137,RN,3,95.61701550387598,200.13870370370356
137,RN,all,159.3970991528584,
137,RO,1,132.09803317568563,360.09959546284887
137,RO,2,115.64336382716395,1064.1298782270026
137,RO,3,43.9768507751938,76.20046296296296
137,RO,all,100.50038930259532,
137,RR,1,26.730060235257472,4.916232638888888
137,RR,2,6.567884615384615,9.61884548611111
137,RR,3,11.942839147286822,11.098148148148148
137,RR,all,15.272348405215796,
137,RS,1,266.2141959594223,948.7142878188461
137,RS,2,1698.520098085813,6018.132292678155
137,RS,3,718.6007978036176,2549.8065740740735
137,RS,all,905.2110040537945,
137,SC,1,1828.859617723637,9470.17549480235
137,SC,2,4313.312276689298,13234.879319115249
137,SC,3,407.8386757105943,1191.5551851851849
137,SC,all,2292.040826972981,
137,SE,1,50.38328380756847,34.887063078703704
137,SE,2,34.00101746127137,37.01474826388889
137,SE,3,45.57022932816538,53.113518518518525
137,SE,all,43.18029610265839,
137,SP,1,1581.2727506300178,7347.4061501107835
137,SP,2,32000.87909931418,129300.77129880764
137,SP,3,9165.543982558142,22685.990879629637
137,SP,all,14560.47814589863,
137,TO,1,124.28793742375044,116.46248553240746
137,TO,2,298.6837650181129,73.66157118055557
137,TO,3,105.10444767441854,173.09675925925933
137,TO,all,180.36748147603328,
138,AC,1,72.71805752962095,70.0385449274774
138,AC,2,78.73335128778575,435.5631403053804
138,AC,3,114.93544090059368,312.7373465534713
138,AC,all,87.19521916483453,
138,AL,1,63.26053095614144,156.0
138,AL,2,87.8308708548704,30.342484667567405
138,AL,3,632.348710390851,499.1069399087296
138,AL,all,238.42005061890615,
138,AM,1,122.06254261016798,202.9031889016878
138,AM,2,58.40377145413462,192.13317571245372
138,AM,3,27.547474804650694,43.07691623602907
138,AM,all,71.89652889757629,
138,AP,1,14.635133457508589,75.03656068562425
138,AP,2,185.89196606324913,597.877942803421
138,AP,3,106.34117159610824,91.04340961022018
138,AP,all,102.04135750824528,
138,BA,1,609.5813114035768,837.5121012619987
138,BA,2,3654.3724420750423,16801.680360189614
