model_id,state,valid_test,WIS
145,MS,1,20430.984943385174
150,MS,1,16313.641152441061
152,MS,1,20929.625231574417
154,MS,1,4450.767541465813
155,MS,1,7264.8830674845485
156,MS,1,7620.594269285614
157,MS,1,11776.846559691003
108,MT,3,100527.2672897983
133,MT,3,17184.61133620843
134,MT,3,28420.070214397852
135,MT,3,1692.205763988872
136,MT,3,13700.436901570942
137,MT,3,13644.476131238065
138,MT,3,1716.0720208622652
139,MT,3,15468.863799407729
143,MT,3,4568.109561777072
144,MT,3,2281.5369466278817
145,MT,3,18299.831722074196
150,MT,3,11626.392488047464
152,MT,3,18291.704462477617
154,MT,3,7589.559504509806
155,MT,3,7011.898177169939
156,MT,3,13621.699851196501
157,MT,3,2120.129820435629
108,MT,2,22341.845700363843
133,MT,2,29243.823868652005
134,MT,2,11665.575900450527
135,MT,2,950.688268497252
136,MT,2,14744.465995275852
137,MT,2,24625.894925699144
138,MT,2,21976.414768744075
139,MT,2,21987.853534655762
143,MT,2,17642.00674270322
144,MT,2,9896.522129437046
145,MT,2,24287.638151280156
150,MT,2,18052.09583449211
152,MT,2,23475.86390703279
154,MT,2,15181.93701535942
155,MT,2,8298.534192193138
156,MT,2,578.1623536515931
157,MT,2,15658.58833415123
108,MT,1,31478.04634677801
133,MT,1,15370.56318395668
134,MT,1,37323.24106351942
135,MT,1,2972.448906671712
136,MT,1,4783.030631883913
137,MT,1,1681.4634761192663
138,MT,1,7766.410013475397
139,MT,1,8179.19463659787
143,MT,1,3920.9291115809006
144,MT,1,946.6362460105782
145,MT,1,9366.917257290854
150,MT,1,12868.08196846198
152,MT,1,19945.242686790232
154,MT,1,2136.8596929665136
155,MT,1,3539.7570224708
156,MT,1,3392.410035807536
157,MT,1,3575.470466427947
108,MA,3,17868.911837770946
133,MA,3,2650.5411304651357
134,MA,3,2411.2085975133386
135,MA,3,756.7124938434159
136,MA,3,1554.3870029671073
137,MA,3,4725.542287070699
138,MA,3,946.6529950023707
139,MA,3,237.79304108631428
143,MA,3,445.41360871406897
144,MA,3,2028.6102871475134
145,MA,3,365.11548418505384
150,MA,3,2418.711332982255
152,MA,3,3978.959402862298
154,MA,3,968.1637652905192
155,MA,3,7077.8538714194865
156,MA,3,168.1439816576383
157,MA,3,1287.911978004254
108,MA,2,1548.1322822760058
133,MA,2,8328.339671932394
134,MA,2,6990.556794886801
135,MA,2,276.9339174569737
136,MA,2,1165.59781371291
137,MA,2,505.09298606684087
138,MA,2,7800.515588475946
139,MA,2,4623.123466543567
143,MA,2,1811.8307239336054
144,MA,2,1257.3267991680336
145,MA,2,4219.8460735216895
150,MA,2,5913.374498161139
152,MA,2,1082.2345024621804
154,MA,2,3106.066508862147
155,MA,2,1539.8499869339657
156,MA,2,10059.405084695602
157,MA,2,4062.2586308655204
108,MA,1,32521.807907082948
133,MA,1,2125.100578022309
134,MA,1,10783.98833247214
135,MA,1,1661.0735236417072
136,MA,1,3386.8749784188462
137,MA,1,5055.237582443833
138,MA,1,2647.9196192521613
139,MA,1,283.2965157600572
143,MA,1,4193.105338320039
144,MA,1,1535.1322456103667
145,MA,1,318.4142023961183
150,MA,1,4565.325019852565
152,MA,1,3423.2236711519213
154,MA,1,595.6564201148166
155,MA,1,5124.724548632697
156,MA,1,5674.955209784324
157,MA,1,1102.4577776916913
108,GO,3,367197.5014697016
133,GO,3,147605.87575482577
134,GO,3,178760.93577280408
135,GO,3,38826.55635486303
136,GO,3,50241.90140333018
137,GO,3,13896.399648585859
138,GO,3,10943.991413146432
139,GO,3,13125.915026432316
143,GO,3,95202.60653576531
144,GO,3,18474.986640571828
145,GO,3,20982.74702060961
150,GO,3,7219.62708902068
152,GO,3,47120.00059257312
154,GO,3,4616.520367769713
155,GO,3,2321.491145759422
156,GO,3,30698.736470776545
157,GO,3,65527.478743198895
108,GO,2,283034.0890103693
133,GO,2,284502.01869144524
134,GO,2,278722.7129507621
135,GO,2,65247.10695889106
136,GO,2,117230.14262915376
137,GO,2,97826.22353077972
138,GO,2,281906.0481461489
139,GO,2,269666.42208951083
143,GO,2,257351.94514806417
144,GO,2,242948.3036283739
145,GO,2,271616.75273926917
150,GO,2,298910.8012825523
152,GO,2,291447.40922232333
154,GO,2,248614.24130398507
155,GO,2,272200.65565711405
156,GO,2,243203.25483947128
157,GO,2,264302.777197249
108,GO,1,247650.27806030866
133,GO,1,13107.904046513033
134,GO,1,69189.37367391438
135,GO,1,26870.791101064224
136,GO,1,21371.91877921432
137,GO,1,7704.146635771856
138,GO,1,7728.795047416339
139,GO,1,4013.496916302936
143,GO,1,10403.20979000413
144,GO,1,39224.22223435437
145,GO,1,14851.696893239052
150,GO,1,47406.04859119563
152,GO,1,54731.12118149781
154,GO,1,19909.19982733704
155,GO,1,13892.556833329638
156,GO,1,16548.171691815744
157,GO,1,49158.24431020256
108,DF,3,109893.00037362242
133,DF,3,427598.93258609774
134,DF,3,1704.5118600532746
135,DF,3,8939.47744750875
136,DF,3,9630.358962149803
137,DF,3,14366.7830948486
138,DF,3,53442.39878869235
139,DF,3,1588.141233056784
143,DF,3,29826.28693878367
144,DF,3,34385.18562728829
145,DF,3,6736.566400365779
150,DF,3,52984.559332412726
152,DF,3,1991.0606166309096
154,DF,3,17167.497340831003
155,DF,3,59239.81641325288
156,DF,3,10186.322919844497
157,DF,3,14653.561972173276
108,DF,2,57128.48613892116
133,DF,2,276010.2117874951
134,DF,2,270483.10344070155
135,DF,2,183309.01123305195
136,DF,2,251744.13926159684
137,DF,2,54163.09413898995
138,DF,2,276733.47174732125
139,DF,2,273827.4952768682
143,DF,2,273059.0862997065
144,DF,2,238854.93999510663
145,DF,2,270987.25187535095
150,DF,2,263685.6374341502
152,DF,2,280766.7461765091
154,DF,2,257300.83967004096
155,DF,2,248120.43983694015
156,DF,2,232569.99220514216
157,DF,2,162028.07282314467
108,DF,1,133697.12918320112
133,DF,1,19450.149649805917
134,DF,1,17633.31620546981
135,DF,1,6880.079762811934
136,DF,1,7712.34005131783
137,DF,1,20757.996642952578
138,DF,1,17845.96403720792
139,DF,1,14233.140013789807
143,DF,1,12549.638947174572
144,DF,1,3571.62830803493
145,DF,1,11574.209237578802
150,DF,1,1741.6955605314135
152,DF,1,30201.123026006666
154,DF,1,3333.829618718583
155,DF,1,2920.6864359825436
156,DF,1,2132.948645017299
157,DF,1,1114.4962307534815
108,CE,3,9195.885178156526
133,CE,3,9253.598383602925
134,CE,3,37559.99343498825
135,CE,3,15031.872117909228
136,CE,3,16508.3072628791
137,CE,3,24908.84203520284
138,CE,3,4638.907898685772
139,CE,3,15978.441692494958
143,CE,3,21354.049161788018
144,CE,3,25248.909442751898
145,CE,3,23858.454050433556
150,CE,3,16185.08926892032
152,CE,3,4766.46830207497
154,CE,3,25105.35957497803
155,CE,3,35274.46171064737
156,CE,3,20498.01891351228
157,CE,3,12078.013072450092
108,CE,2,2455.1780853394057
133,CE,2,1209.8087791841604
134,CE,2,2440.008381458718
135,CE,2,27359.987268647135
136,CE,2,25681.233605954556
137,CE,2,25848.238308410815
138,CE,2,663.9597369989228
139,CE,2,9193.529757325128
143,CE,2,13850.444163520337
144,CE,2,21486.267335661152
145,CE,2,13398.408845943302
150,CE,2,5287.506154917961
152,CE,2,1104.177996962566
154,CE,2,17993.845315356753
155,CE,2,37942.11753520339
156,CE,2,43030.66555106647
157,CE,2,4980.255945315637
108,CE,1,86223.35453987714
133,CE,1,476.31462788200145
134,CE,1,73935.54168721366
135,CE,1,2137.8327410752745
136,CE,1,22631.888326984197
137,CE,1,15959.862320499877
138,CE,1,13845.914346505888
139,CE,1,6832.450720472059
143,CE,1,11119.02627182727
144,CE,1,21611.310277104196
145,CE,1,13923.35624103237
150,CE,1,16895.765038604528
152,CE,1,3650.2845191994556
154,CE,1,17084.96546641215
155,CE,1,3676.0279128850025
156,CE,1,14237.951158906977
157,CE,1,20259.993511712877
108,BA,3,303088.70721348654
133,BA,3,9151.908453108152
134,BA,3,268033.6694518102
135,BA,3,24888.286744726414
136,BA,3,3364.282590420764
137,BA,3,4157.910577813393
138,BA,3,20039.752162943354
139,BA,3,2242.9721199202854
143,BA,3,6626.917244200901
144,BA,3,49226.974630486555
145,BA,3,3322.4677912594298
150,BA,3,17152.76327037247
152,BA,3,6420.0873701812825
154,BA,3,16746.45690836503
155,BA,3,44963.32968834993
156,BA,3,16353.950360717443
157,BA,3,32826.67949545924
108,BA,2,25184.207633820904
133,BA,2,201422.26383318473
134,BA,2,153506.72145121885
135,BA,2,136373.2520955968
136,BA,2,113121.90275512545
137,BA,2,49808.006901031426
138,BA,2,201091.35378653003
139,BA,2,198763.0336105604
143,BA,2,157355.25951009223
144,BA,2,170539.49606239455
145,BA,2,198470.0057218041
150,BA,2,189930.4672651376
152,BA,2,212474.3801781166
154,BA,2,185354.3012675881
155,BA,2,179188.81880425735
156,BA,2,147142.39048032986
157,BA,2,176064.49253420281
108,BA,1,60988.10947675271
133,BA,1,15328.053747009133
134,BA,1,44574.45856547434
135,BA,1,9155.008672460706
136,BA,1,2543.340003899979
137,BA,1,2319.0623862103657
138,BA,1,38604.1754224082
139,BA,1,5818.699839355966
143,BA,1,3820.3206750580594
144,BA,1,12862.510865467846
145,BA,1,6120.713779221124
150,BA,1,10480.763742960766
152,BA,1,19971.048918173117
154,BA,1,1423.996790676861
155,BA,1,1597.1661474758528
156,BA,1,1100.9157234067889
157,BA,1,3607.156915135902
108,TO,3,4858.216245171281
133,TO,3,19828.737957203626
134,TO,3,21871.668913032783
135,TO,3,7447.3249632678535
136,TO,3,3443.862579170763
137,TO,3,11681.572119494118
138,TO,3,67.23001476710294
139,TO,3,1937.7289987525546
143,TO,3,6247.8176817333815
144,TO,3,4469.040151046906
145,TO,3,3915.297391064216
150,TO,3,3722.0059753709875
152,TO,3,353.05187936475846
154,TO,3,3568.2545969269613
155,TO,3,4119.4977428687025
156,TO,3,4391.6940624901035
157,TO,3,2725.2169975995043
108,TO,2,857.4183264690743
133,TO,2,2945.1202921008025
134,TO,2,4549.383179217313
135,TO,2,12162.216943316625
136,TO,2,2534.65422529336
137,TO,2,19973.32600616471
138,TO,2,3063.115614110591
139,TO,2,444.5137549038887
143,TO,2,861.2815712386245
144,TO,2,3060.5804659542478
145,TO,2,2004.0552202815024
150,TO,2,1380.7991730019357
152,TO,2,432.73495649002535
154,TO,2,1735.1566671722856
155,TO,2,3428.2977251987277
156,TO,2,2087.01130043229
157,TO,2,163.16124832960708
108,TO,1,40209.99809374839
133,TO,1,173.41254483451317
134,TO,1,651.589897473082
135,TO,1,3005.9830940220754
136,TO,1,886.0753753694449
137,TO,1,16439.301549510124
138,TO,1,7519.3901817915175
139,TO,1,952.7465358885648
143,TO,1,1522.082956765208
144,TO,1,4209.870315959195
145,TO,1,3697.723661389286
150,TO,1,116.923112358596
152,TO,1,1999.2353096374661
154,TO,1,3270.852168064966
155,TO,1,4813.049421807695
156,TO,1,3644.9588871503897
157,TO,1,4552.728717963332
108,AM,3,1567.6496417273386
133,AM,3,351.9090074565477
134,AM,3,733.6285955767524
135,AM,3,13729.260003003063
136,AM,3,887.5119306534133
137,AM,3,1947.9457507848606
138,AM,3,1755.199008331551
139,AM,3,538.5477912775791
143,AM,3,1741.7753471102942
144,AM,3,471.5372624296904
145,AM,3,7645.0442971305065
150,AM,3,365.1233720428407
152,AM,3,5225.130382738507
154,AM,3,1196.1707997074893
155,AM,3,18959.41263909398
156,AM,3,20441.82676552532
157,AM,3,232.63645804865195
108,AM,2,4612.91164692085
133,AM,2,5566.708319211768
134,AM,2,2331.788430608537
135,AM,2,7518.895037874829
136,AM,2,629.0830766491919
137,AM,2,17446.935768761756
138,AM,2,5669.743119418783
139,AM,2,1424.5478672763802
143,AM,2,1041.670707410516
144,AM,2,2860.6098315784093
145,AM,2,4083.1224887096305
150,AM,2,2721.9495134973395
152,AM,2,9630.704607717236
154,AM,2,889.3898041990501
155,AM,2,40193.85663272375
156,AM,2,38945.380661393945
157,AM,2,1889.4386533428833
108,AM,1,1542.2658213278041
133,AM,1,4120.940185618255
134,AM,1,530.1183101523625
135,AM,1,474.32794874146606
136,AM,1,429.8320526109896
137,AM,1,2112.9621121361174
138,AM,1,3117.7312815856985
139,AM,1,469.0502873259758
143,AM,1,1524.1563447700837
144,AM,1,187.82600132973423
145,AM,1,8034.301963405372
150,AM,1,143.42877001048964
152,AM,1,3488.606609691464
154,AM,1,928.5291432671171
155,AM,1,36450.0269131863
156,AM,1,26143.738079299186
